time,consgrowth,cay,RREL,SPEX,tbill,r1,r2,r3,r4,r5,r6
1970.5,1.0013,0.0034392,0.98591,-0.22153,1.003,0.63246,0.71093,0.75613,0.77023,0.82813,0.81627
1970.8,1.0074,0.0019132,0.98902,0.16578,1.0058,1.3219,1.2562,1.2348,1.163,1.1478,1.1733
1971,1.0036,0.0070587,0.98569,0.079492,1.0018,0.99687,1.0293,1.0612,1.0859,1.0959,1.0797
1971.2,1.0025,-0.0096339,0.98829,0.10681,1.0024,1.2465,1.2184,1.1952,1.1241,1.064,1.086
1971.5,1.0024,-0.017423,0.98461,-0.010693,0.99711,0.98033,0.9549,0.9487,1.0096,0.96896,0.98958
1971.8,1.0018,-0.016118,0.98882,-0.017735,1.0007,0.9701,0.97099,0.97019,1.0022,0.95243,0.98994
1972,1.009,-0.015277,0.99147,0.034572,1.0025,1.027,1.0291,0.99741,1.0473,1.0339,1.0218
1972.2,1.0096,-0.017263,0.98656,0.061525,0.99696,1.1435,1.0857,1.1183,1.0846,0.98836,1.0566
1972.5,1.0151,-0.0088554,0.9925,-0.0085287,1.0029,0.94446,0.97046,0.94058,1.0194,0.97552,0.92976
1972.8,1.0094,-0.0091578,0.99018,0.013845,0.99965,0.90152,0.95209,0.96239,1.0055,1.0386,1.0517
1973,1.0147,-0.026321,0.99148,0.059135,1.0011,0.98842,1.0362,1.0178,1.0515,1.0696,1.0983
1973.2,1.0066,-0.024563,0.98853,-0.091469,0.99934,0.77566,0.841,0.88322,0.92025,0.92295,0.93791
1973.5,0.99997,-0.02427,0.98112,-0.098345,0.99335,0.73552,0.83658,0.83913,0.90364,0.93139,0.92521
1973.8,1.0039,-0.02575,0.98313,0.06168,0.99772,1.2331,1.1225,1.1087,1.0302,1.0584,1.1116
1974,0.99793,-0.021583,0.97698,-0.12864,0.99298,0.7176,0.78669,0.81551,0.84316,0.92382,0.91621
1974.2,0.99113,-0.016385,0.96822,-0.035623,0.98544,1.0364,1.0605,1.1272,0.93097,0.93536,1.0039
1974.5,1.0025,-0.0039232,0.97324,-0.12718,0.99174,0.81762,0.82186,0.86428,0.90241,0.85289,0.85073
1974.8,1.0032,0.011042,0.97573,-0.26377,0.99404,0.72701,0.79899,0.81509,0.68632,0.82805,0.8189
1975,0.99951,0.015241,0.97455,0.06951,0.99298,0.98145,0.94886,0.92073,1.0988,1.046,0.98493
1975.2,1.0023,0.011034,0.97724,0.22936,0.99488,1.3995,1.3703,1.4323,1.2056,1.1966,1.2992
1975.5,1.0119,-0.01499,0.98484,0.14729,1.001,1.2387,1.1688,1.1554,1.1519,1.135,1.145
1975.8,1.0031,0.0061344,0.97882,-0.13237,0.99404,0.86921,0.88441,0.86106,0.85081,0.90046,0.88064
1976,1.0051,0.003078,0.98212,0.062272,0.99651,0.99129,1.0359,1.03,1.0585,1.0804,1.1011
1976.2,1.013,-0.00055981,0.9874,0.15268,1.0011,1.2285,1.2767,1.4055,1.1139,1.1895,1.2517
1976.5,1.0081,-0.0011458,0.99045,0.012015,1.0037,1.012,0.99771,0.98118,1.0123,1.029,1.0274
1976.8,1.0075,0.0019031,0.98432,0.0038839,0.99695,0.97337,1.0027,1.0006,0.99033,1.0299,1.0082
1977,1.01,0.0068708,0.98397,0.033471,0.99598,1.088,1.0943,1.1014,0.99918,1.0632,1.0562
1977.2,1.0051,0.012846,0.98027,-0.071645,0.99209,0.98176,0.99862,1.0154,0.8867,0.94604,0.96529
1977.5,0.99878,0.0036438,0.97919,0.034018,0.9908,1.0581,1.0564,1.0824,1.0043,1.0363,1.0552
